x2,y,ELEV
49.1007175758,139.144968429,-5700
53.0985250809,140.110167832,-5700
49.210893673,139.171568485,-5750
52.8885868353,140.059481983,-5750
83.8820373323,147.542298477,-5700
84.8676549324,147.780258288,-5700
84.371764139,147.66053429,-5750
84.3819853873,147.663002029,-5750
80.9175210442,146.82656883,-5700
81.8332745679,147.047661205,-5700
86.2318026935,148.109607464,-5700
86.4297075955,148.157388077,-5750
86.7388102011,148.232015395,-5800
87.2200195165,148.348194811,-5800
87.5962478649,148.439028444,-5800
89.3897951862,148.872048494,-5800
49.5347039951,139.249746718,-5850
52.4341443518,139.949764941,-5850
49.3793754088,139.212245398,-5800
52.6435486939,140.000321889,-5800
49.7797202795,139.308901535,-6000
52.0079638742,139.846871257,-6000
49.7120578158,139.292565639,-5950
52.1352615565,139.877605014,-5950
49.6416446113,139.275565625,-5900
52.270360949,139.910222356,-5900
49.9371380011,139.34690724,-6150
51.5301630548,139.73151476,-6150
49.8885903277,139.335186269,-6100
51.7046188381,139.773634002,-6100
49.8401275504,139.323485795,-6050
51.8763223078,139.815088745,-6050
36.1450305225,136.017048587,-2450
37.3566494505,136.309572393,-2450
50.3054366267,139.435826382,-6450
50.592099715,139.505036078,-6450
50.1932893528,139.408750421,-6400
50.7510531289,139.543412548,-6400
50.1342959632,139.394507518,-6350
50.8985674406,139.579027251,-6350
50.0851339311,139.382638221,-6300
51.0527806502,139.616259283,-6300
50.0344282841,139.370396246,-6250
51.2086462585,139.653890258,-6250
49.9847922294,139.358412504,-6200
51.3666387731,139.692034736,-6200
62.0960303685,142.282455199,-3900
63.8486421376,142.705592089,-3900
62.0332044385,142.267286998,-3950
63.8768650091,142.712405999,-3950
61.9713831739,142.252361355,-4000
63.9051005823,142.719222975,-4000
61.8964358084,142.234266648,-4050
63.9335165627,142.726083507,-4050
60.5360679091,141.905830053,-4100
60.5828030995,141.917113432,-4100
61.8138290252,142.214322712,-4100
63.9621146648,142.732988009,-4100
62.8106502619,142.454987442,-3200
63.3379869915,142.582303501,-3200
62.9100969921,142.478997083,-3150
63.2261828337,142.555310379,-3150
65.2157393095,143.035653347,-5200
66.8136090913,143.421430541,-5200
78.9958064082,146.362605065,-5700
