ELEV,x2,y
-5550,81.7615889071,142.738257303
-5550,82.680031468,142.774443121
-5600,82.0368849337,142.749103721
-5600,82.4069706765,142.763684769
-5500,81.5649438267,142.730509662
-5500,82.8938773754,142.782868459
-5500,84.0317398371,142.827699227
-5500,85.7192374152,142.894185128
-5550,84.3557859795,142.840466356
-5550,85.1533475594,142.871889572
-4950,94.3191996523,143.233015978
-5000,94.205242696,143.228526175
-5050,88.5685209544,143.006444361
-5050,89.2593012464,143.033660489
-5050,94.0266396945,143.221489376
-5100,87.6689821602,142.971003334
-5100,87.9698735271,142.982858185
-5100,88.4401521592,143.001386745
-5100,89.606201378,143.047328045
-5100,92.409973312,143.157794161
-5100,92.9641701328,143.179629022
-5100,93.7008302913,143.208652776
-5150,87.4071060798,142.960685649
-5150,88.1858241213,142.991366446
-5150,88.2810445588,142.995118047
-5150,89.8125103377,143.055456434
-5150,92.2381266708,143.151023556
-5200,87.1489836512,142.950515856
-5200,89.9722436072,143.061749783
-5200,92.0926017445,143.145290004
-2400,6.55167765373,139.775053808
-2400,11.6508499667,139.975956654
-2350,6.6088043185,139.777304547
-2350,11.5414882384,139.971647899
-3950,14.2878437293,140.079851858
-3950,23.1279835059,140.42814549
-1900,7.22348566646,139.801522445
-1900,9.21617124443,139.880032481
-1950,7.13380374224,139.797989057
-1950,9.57161103985,139.894036492
-1850,7.30442146955,139.804711243
-1850,9.0728802192,139.874386942
-4100,16.409814135,140.163455602
-4100,16.8536151309,140.180940966
-4150,16.565397447,140.169585446
-4150,16.7395225,140.176445818
-3800,17.2510765503,140.196600591
-3800,17.7655797408,140.216871559
-3850,17.1749832717,140.193602584
-3850,17.8211183731,140.219059731
-3700,21.4762538151,140.363068811
-3700,22.0606700305,140.386094289
-3750,21.4342962827,140.361415722
-3750,22.082161582,140.386941037
-3900,21.2921385775,140.355814835
-3900,22.1462361859,140.38946552
-3850,21.3402438058,140.357710138
-3850,22.124956322,140.388627112
-3950,21.2413099182,140.353812231
-3950,22.1674534406,140.390301461
-4000,21.1443405712,140.349991725
-4000,22.1886102404,140.39113502
-3800,21.3880150365,140.359592282
-3800,22.1035902475,140.387785308
