x,y,d
62.6423799241,140.492840421,-5650
67.767106272,138.802786173,-5650
72.806702737,137.140806423,-5650
49.7933325295,144.730254414,-5600
56.6278102889,142.476351008,-5600
56.9521353196,142.369393707,-5600
57.3661208404,142.232867786,-5600
62.5482369098,140.523887309,-5600
67.9851642187,138.730874088,-5600
72.7289608081,137.16644449,-5600
49.7415029823,144.747346985,-5550
56.7028355438,142.451608857,-5550
56.8610233358,142.399441008,-5550
57.386430436,142.22617,-5550
62.4886501745,140.543538078,-5550
49.68917781,144.764603005,-5500
57.4064160821,142.219579048,-5500
62.4276340994,140.563660221,-5500
72.9031613047,137.108995903,-5700
73.0215757668,137.069944673,-5750
73.6314991676,136.868801517,-5750
75.5031636125,136.251555983,-5750
75.9406048991,136.107294719,-5900
76.4157620636,135.95059535,-5950
76.9979195089,135.758608969,-5950
78.6213552971,135.223225348,-5950
78.6303842123,135.220247753,-5950
79.8269951351,134.825624268,-5950
75.7239237294,136.178752765,-5850
75.6095548231,136.216469833,-5800
73.8065257169,136.81108051,-5700
75.4055269447,136.283755023,-5700
80.1936725591,134.704699813,-6000
80.5213164043,134.59664802,-6000
82.0507838476,134.092253683,-6000
82.471824238,133.953401176,-6000
84.0717442551,133.425772686,-6000
91.0457154005,131.125866552,-6000
95.6592795311,129.604385574,-6000
94.3102791423,130.049264711,-5550
95.1124304118,129.784727823,-5550
94.2285616083,130.076213871,-5650
95.1959610777,129.757180722,-5650
94.2698243329,130.062606072,-5600
95.1531973386,129.771283531,-5600
94.5692563723,129.963858089,-5250
94.7880634405,129.891698955,-5250
94.1655275428,130.097001515,-5700
95.2390785242,129.742961265,-5700
94.5231460329,129.979064555,-5300
94.8633360369,129.866875235,-5300
94.4339282646,130.008487173,-5400
94.9940404425,129.823770975,-5400
94.4779408584,129.993972511,-5350
94.9477551166,129.839035149,-5350
94.3887360139,130.023390868,-5450
95.0394574495,129.80879316,-5450
94.349737003,130.036252129,-5500
95.0757377601,129.796828483,-5500
94.0714505368,130.128026634,-5750
95.2825541058,129.728623701,-5750
82.6668262018,133.889092591,-5950
83.5579751317,133.595205673,-5950
82.9410313581,133.798664038,-5850
83.1846955846,133.718307404,-5850
82.7998666419,133.845217944,-5900
83.3607608877,133.660243832,-5900
89.3682486312,131.679068743,-6100
90.1192239064,131.431408894,-6100
88.7413305298,131.885816485,-6050
90.5803066184,131.279351058,-6050
43.2858780398,146.876310683,-4550
43.7620075182,146.71929066,-4550
45.0780353924,146.28528534,-4650
45.5231037104,146.1385088,-4650
46.1988854888,145.915646585,-4400
46.567160685,145.79419521,-4400
44.0499643785,146.624327011,-4450
44.3486995156,146.525808856,-4450
46.0135648809,145.976762411,-4450
46.853338019,145.699818421,-4450
47.3788813463,145.526502487,-4450
47.509151146,145.483541554,-4450
59.0074134554,141.691595263,-2550
59.6317287212,141.485705896,-2550
58.4161252629,141.886592821,-2900
60.3061255084,141.263300429,-2900
58.4672152049,141.869744161,-2850
60.2741899038,141.27383229,-2850
58.5236126802,141.851145159,-2800
60.2431952479,141.28405384,-2800
58.5836922984,141.831331845,-2750
60.199544256,141.298449252,-2750
58.6506899688,141.809237066,-2700
60.1471109486,141.315740933,-2700
58.7341599058,141.781709992,-2650
60.0885567465,141.335051189,-2650
58.8424383608,141.746001458,-2600
60.0074541524,141.36179755,-2600
57.483269179,142.194234104,-5300
62.251594867,140.621715195,-5300
57.6707656361,142.132400718,-4650
61.4993594135,140.869790631,-4650
57.4645049094,142.200422265,-5350
62.2948569118,140.607448052,-5350
58.2567448403,141.939153981,-3100
60.428920331,141.222804625,-3100
58.2937945317,141.926935575,-3050
60.400961428,141.232025032,-3050
58.3308438553,141.91471729,-3000
60.3703255625,141.24212826,-3000
58.3709979375,141.901475104,-2950
60.338520058,141.252617215,-2950
54.4676461538,143.188739207,-8550
54.7085177529,143.109303537,-8550
54.427320472,143.202037983,-8500
54.7821587336,143.085017899,-8500
54.3847602031,143.216073691,-8450
54.8482345117,143.063227145,-8450
54.3415620707,143.230319757,-8400
54.9375867919,143.033760166,-8400
68.252443172,138.642729687,-5550
72.6559385826,137.190526073,-5550
77.5902436381,135.563269776,-5700
78.1289208242,135.385622501,-5700
77.4980322116,135.593679656,-5750
78.2175924185,135.356380003,-5750
77.4058555844,135.624078059,-5800
78.2959988628,135.330522789,-5800
77.3019569449,135.658342199,-5850
