x,d,y
66.2473572093,-5650,138.280739472
44.8965093696,-5600,145.323375741
60.3697694936,-5600,140.219478052
65.6719241086,-5600,138.470547673
44.7947253345,-5550,145.356949486
44.6883567362,-5500,145.392035463
66.5985215572,-5700,138.164906939
66.9146255125,-5750,138.060639175
67.6294287591,-5750,137.824859345
68.4200016467,-5750,137.564086689
71.4996661393,-5900,136.548250831
72.4394782644,-5950,136.238251199
68.823516294,-5850,137.430986266
70.0235851739,-5850,137.035140223
71.1240321535,-5850,136.672154741
68.6438209837,-5800,137.490259261
76.2592512988,-6000,134.978288489
86.1091146609,-6000,131.72928379
50.0366882589,-8800,143.627873504
51.3335789089,-8800,143.200090532
49.9788046886,-8750,143.64696656
51.3717579078,-8750,143.187497084
49.9223733011,-8700,143.665580609
51.4097646,-8700,143.174960471
49.8695705447,-8650,143.682997744
51.4470029243,-8650,143.162677307
49.8191835775,-8600,143.699618025
51.4829025583,-8600,143.150835713
49.7672369233,-8550,143.716752773
51.5188017377,-8550,143.138994269
49.7169951658,-8500,143.733325155
51.5559922825,-8500,143.126726865
50.1824525809,-8900,143.579792738
51.254814803,-8900,143.226071091
50.1103216936,-8850,143.603585311
51.2953993646,-8850,143.212684161
50.4131202995,-9050,143.503706353
51.0796636348,-9050,143.283845188
50.5232093597,-9100,143.467393172
51.0170037303,-9100,143.304513731
50.2505554385,-8950,143.557328822
51.2021711924,-8950,143.243435731
50.322048617,-9000,143.533746599
51.1495265822,-9000,143.260800702
50.6476527622,-9150,143.426345171
50.8147756279,-9150,143.371219231
49.6672653034,-8450,143.749728688
51.5943203051,-8450,143.114084261
49.6164259886,-8400,143.766498177
51.631858606,-8400,143.101702148
60.6408703321,-5550,140.13005469
65.4534316846,-5550,138.542618004
76.732376714,-6100,134.822226761
77.9323311195,-6100,134.426418478
76.9667386604,-6150,134.744921824
77.7254956626,-6150,134.494643726
82.4947306741,-6050,132.921498354
82.6907971172,-6050,132.856825295
84.6730554438,-6050,132.202971899
85.7590635394,-6050,131.844749122
84.966671835,-6100,132.106121719
85.4825176879,-6100,131.935968536
84.0787801122,-6000,132.398995262
84.2611643176,-6000,132.338835327
87.3301637792,-5900,131.326517358
90.3530907492,-5900,130.329396528
88.9471340166,-5800,130.793155249
90.270837205,-5800,130.356528087
87.9922773455,-5850,131.108117365
90.3123220793,-5850,130.342844187
86.7631243069,-5950,131.513556898
90.4371258115,-5950,130.30167733
89.4084060614,-5700,130.641003388
90.1855713469,-5700,130.384653267
89.2421152109,-5750,130.695854885
90.228617128,-5750,130.370454497
76.5163966727,-6050,134.893468375
78.9661109696,-6050,134.085423333
79.1247299529,-6050,134.033102422
81.6296401982,-6050,133.206850843
79.4430776619,-6100,133.928094549
80.4181335871,-6100,133.606469652
79.7876736334,-6150,133.814428614
79.9156705213,-6150,133.772208486
63.105888676,-5450,139.316961565
65.2728207722,-5450,138.602193014
60.9926007302,-5500,140.014035444
65.3488924025,-5500,138.577100576
64.1476651293,-4250,138.973328717
64.6240236128,-4250,138.816200553
64.1085651929,-4300,138.98622594
64.6439002874,-4300,138.809644177
64.0701663684,-4350,138.998891898
64.6637768018,-4350,138.803087853
64.0398122232,-4400,139.008904297
64.683653156,-4400,138.796531583
64.0111265325,-4450,139.018366351
64.7035293501,-4450,138.789975365
63.983125582,-4500,139.027602543
64.723405384,-4500,138.7834192
63.9552920675,-4550,139.036783504
64.7465144066,-4550,138.775796625
63.9001213447,-4650,139.05498172
64.7957944903,-4650,138.759541453
64.4185038324,-4100,138.883991821
64.4307586011,-4100,138.879949552
64.2277685274,-4150,138.94690639
64.5288091043,-4150,138.847607322
64.1874856059,-4200,138.960193823
64.5988515847,-4200,138.824503616
