d,long,lat
-5650,129.915854798,54.8650663226
-5650,129.87155642,54.9412396032
-5650,129.082839978,56.2974770604
-5600,143.332698471,31.7941310967
-5600,136.624406439,43.3293755043
-5600,133.498603251,48.7043507683
-5600,132.657101783,50.1513547244
-5600,129.98359416,54.7485850941
-5600,129.792496455,55.0771871757
-5600,129.228832844,56.0464350091
-5550,143.34648859,31.7704182953
-5500,143.360251555,31.7467521876
-5700,127.087462224,59.7286291288
-5750,124.1386646,64.7992344528
-5750,119.086969847,73.4858768018
-5750,115.07461876,80.3853156173
-5750,114.34614602,81.6379610101
-5750,113.321388718,83.4000825564
-5800,121.976015184,68.5180185282
-5800,121.37381222,69.5535367118
-5800,121.211248161,69.8330737593
-5800,120.160955695,71.639104302
-5800,114.773917614,80.9023863105
-5800,114.379868061,81.5799742693
-5800,113.277450366,83.4756367554
-8450,141.254019365,35.3685240147
-8450,140.432617944,36.7809649317
-8400,141.276760789,35.3294189966
-8400,140.419265397,36.8039253052
-8700,141.130206045,35.581427224
-8700,140.507896648,36.6515194259
-9000,140.92744668,35.9300821169
-9000,140.660056479,36.3898729696
-8950,140.973338324,35.8511691341
-8950,140.622105356,36.4551318284
-8900,141.010069156,35.788008627
-8900,140.594071098,36.50333814
-8850,141.044655651,35.7285354145
-8850,140.56597599,36.5516490868
-8800,141.074517644,35.677186222
-8800,140.546886712,36.5844740564
-8750,141.10228928,35.6294315005
-8750,140.529462363,36.6144360978
-9050,140.86262694,36.0415429081
-9050,140.716172157,36.2933792486
-5550,136.614688647,43.3460857345
-5550,133.596672429,48.5357159008
-5550,132.573703338,50.29476253
-5550,132.396549175,50.5993879934
-5550,132.081677683,51.1408253079
-5550,130.048040197,54.6377669029
-8650,141.158148212,35.5333792676
-8650,140.489103015,36.6838360199
-8600,141.182168684,35.4920748622
-8600,140.474981523,36.7081186336
-8550,141.205862839,35.4513315757
-8550,140.46086018,36.7324009901
-8500,141.229557339,35.410587694
-8500,140.446738987,36.7566830895
-5450,136.59484497,43.3802079312
-5450,133.682369492,48.3883555056
-5500,136.604899788,43.3629181684
-5500,133.645037201,48.4525502522
-5400,136.584654053,43.3977317241
-5400,133.711645293,48.3380142995
-5350,136.574463189,43.4152554259
-5350,133.738009446,48.2926798158
-5300,136.564272378,43.4327790366
-5300,133.764376808,48.2473398163
-3850,122.767807192,67.1564924816
-3850,122.669503091,67.3255313106
-5600,123.252128862,66.3236770924
-5600,122.100999504,68.3031017258
-5650,123.271977015,66.2895471994
-5650,122.077352701,68.3437635886
-5700,123.292790391,66.2537575556
-5700,122.050257804,68.3903546223
-5750,123.316390024,66.2131768041
-5750,122.011411045,68.4571535709
-4100,122.872848617,66.9758684854
-4100,122.54473908,67.5400692822
-3900,122.800455322,67.1003523858
-3900,122.640397613,67.375579639
-5500,123.217884043,66.3825627766
-5500,122.135102668,68.2444596247
-3950,122.819528194,67.0675556263
-3950,122.609100467,67.4293966512
-4000,122.837752497,67.0362180245
-4000,122.579668381,67.4800065986
-4050,122.855520323,67.005665357
-4050,122.560559265,67.5128656807
-5550,123.234170994,66.3545565476
-5550,122.120119211,68.2702244315
-4350,122.941992309,66.8569724422
-4350,122.457445369,67.6901751936
-4300,122.930915384,66.8760197691
-4300,122.473847539,67.6619708395
-4250,122.918004921,66.8982199578
-4250,122.493835412,67.6276006899
-4200,122.904947792,66.9206723459
-4200,122.51299753,67.5946504681
-4150,122.8893278,66.9475317042
-4150,122.528919048,67.56727262
-5400,123.185648129,66.4379940457
-5400,122.167357702,68.1889954772
-5450,123.201458663,66.4108070409
-5450,122.150086207,68.2186946786
-5850,121.889897868,68.66610157
-5850,121.673315752,69.0385253751
-4600,122.997429913,66.7616447035
-4600,122.371123814,67.8386094336
-4550,122.986049561,66.7812137888
-4550,122.386112253,67.8128360617
-4500,122.974956448,66.800288953
-4500,122.404390057,67.7814064617
-5300,123.159063602,66.483707472
-5300,122.193852291,68.1434367045
-4450,122.963910409,66.8192831707
